0.686783 (0.001461) with: {'nb_epoch': 10, 'activation': 'relu', 'batch_size': 50}
0.688711 (0.001011) with: {'nb_epoch': 20, 'activation': 'relu', 'batch_size': 50}
0.690494 (0.001721) with: {'nb_epoch': 50, 'activation': 'relu', 'batch_size': 50}
0.686300 (0.001091) with: {'nb_epoch': 10, 'activation': 'relu', 'batch_size': 100}
0.686378 (0.001981) with: {'nb_epoch': 20, 'activation': 'relu', 'batch_size': 100}
0.689817 (0.000361) with: {'nb_epoch': 50, 'activation': 'relu', 'batch_size': 100}
0.685856 (0.001022) with: {'nb_epoch': 10, 'activation': 'relu', 'batch_size': 200}
0.686950 (0.000593) with: {'nb_epoch': 20, 'activation': 'relu', 'batch_size': 200}
0.689600 (0.001936) with: {'nb_epoch': 50, 'activation': 'relu', 'batch_size': 200}
0.685528 (0.000726) with: {'nb_epoch': 10, 'activation': 'relu', 'batch_size': 300}
0.686467 (0.001679) with: {'nb_epoch': 20, 'activation': 'relu', 'batch_size': 300}
0.688456 (0.000255) with: {'nb_epoch': 50, 'activation': 'relu', 'batch_size': 300}
0.685083 (0.001180) with: {'nb_epoch': 10, 'activation': 'relu', 'batch_size': 400}
0.684911 (0.001670) with: {'nb_epoch': 20, 'activation': 'relu', 'batch_size': 400}
0.687406 (0.001589) with: {'nb_epoch': 50, 'activation': 'relu', 'batch_size': 400}
0.687628 (0.001532) with: {'nb_epoch': 10, 'activation': 'tanh', 'batch_size': 50}
0.688939 (0.003064) with: {'nb_epoch': 20, 'activation': 'tanh', 'batch_size': 50}
0.691900 (0.001668) with: {'nb_epoch': 50, 'activation': 'tanh', 'batch_size': 50}
0.686133 (0.002587) with: {'nb_epoch': 10, 'activation': 'tanh', 'batch_size': 100}
0.688306 (0.001844) with: {'nb_epoch': 20, 'activation': 'tanh', 'batch_size': 100}
0.691544 (0.000935) with: {'nb_epoch': 50, 'activation': 'tanh', 'batch_size': 100}
0.684622 (0.002087) with: {'nb_epoch': 10, 'activation': 'tanh', 'batch_size': 200}
0.687344 (0.002202) with: {'nb_epoch': 20, 'activation': 'tanh', 'batch_size': 200}
0.691061 (0.001708) with: {'nb_epoch': 50, 'activation': 'tanh', 'batch_size': 200}
0.683733 (0.001379) with: {'nb_epoch': 10, 'activation': 'tanh', 'batch_size': 300}
0.685894 (0.001570) with: {'nb_epoch': 20, 'activation': 'tanh', 'batch_size': 300}
0.689989 (0.001069) with: {'nb_epoch': 50, 'activation': 'tanh', 'batch_size': 300}
0.682472 (0.002117) with: {'nb_epoch': 10, 'activation': 'tanh', 'batch_size': 400}
0.686144 (0.000676) with: {'nb_epoch': 20, 'activation': 'tanh', 'batch_size': 400}
0.689261 (0.001096) with: {'nb_epoch': 50, 'activation': 'tanh', 'batch_size': 400}
0.682344 (0.001502) with: {'nb_epoch': 10, 'activation': 'sigmoid', 'batch_size': 50}
0.684728 (0.001791) with: {'nb_epoch': 20, 'activation': 'sigmoid', 'batch_size': 50}
0.688178 (0.001387) with: {'nb_epoch': 50, 'activation': 'sigmoid', 'batch_size': 50}
0.680744 (0.001171) with: {'nb_epoch': 10, 'activation': 'sigmoid', 'batch_size': 100}
0.682783 (0.001421) with: {'nb_epoch': 20, 'activation': 'sigmoid', 'batch_size': 100}
0.686211 (0.001868) with: {'nb_epoch': 50, 'activation': 'sigmoid', 'batch_size': 100}
0.680272 (0.001621) with: {'nb_epoch': 10, 'activation': 'sigmoid', 'batch_size': 200}
0.682506 (0.001585) with: {'nb_epoch': 20, 'activation': 'sigmoid', 'batch_size': 200}
0.685044 (0.001325) with: {'nb_epoch': 50, 'activation': 'sigmoid', 'batch_size': 200}
0.680000 (0.001586) with: {'nb_epoch': 10, 'activation': 'sigmoid', 'batch_size': 300}
0.681339 (0.001318) with: {'nb_epoch': 20, 'activation': 'sigmoid', 'batch_size': 300}
0.685056 (0.001099) with: {'nb_epoch': 50, 'activation': 'sigmoid', 'batch_size': 300}
0.679156 (0.001950) with: {'nb_epoch': 10, 'activation': 'sigmoid', 'batch_size': 400}
0.681033 (0.001262) with: {'nb_epoch': 20, 'activation': 'sigmoid', 'batch_size': 400}
0.683800 (0.002082) with: {'nb_epoch': 50, 'activation': 'sigmoid', 'batch_size': 400}
